u10001,11/14/2014 0:02,11/14/2014 0:02,A00001/B00001/C00001/D00001/
u10002,12/12/2014 14:12,12/12/2014 14:12,A00002/B00002/C00002/D24897/
u10003,11/14/2014 0:02,11/14/2014 0:16,A00002/B00002/C00002/D00002/;A00002/B00002/C00003/D00003/;A00002/B00002/C00007/D00007/;A00002/B00002/C00002/D00009/;A00002/B00002/C00003/D00010/;A00002/B00002/C00007/D00011/;A00002/B00002/C00002/D00012/;A00002/B00002/C00007/D00014/;A00002/B00002/C00003/D00017/;A00002/B00002/C00011/D00021/;A00002/B00002/C00004/D00023/;A00002/B00002/C00012/D00025/
u10004,11/14/2014 0:21,11/14/2014 0:21,A00002/B00006/C00015/D00030/
u10005,11/14/2014 0:26,11/14/2014 0:29,A00002/B00002/C00003/D00033/;A00002/B00002/C00007/D00035/;A00002/B00002/C00007/D00038/
u10006,11/14/2014 12:40,11/14/2014 12:40,A00002/B00007/C00016/D00836/
u10007,11/17/2014 19:11,11/17/2014 19:16,A00002/B00006/C00030/D05969/;A00002/B00006/C00030/D05970/;A00002/B00006/C00030/D05971/;A00002/B00006/C00030/D05972/;A00002/B00006/C00030/D05974/;A00002/B00006/C00030/D05976/
u10008,11/17/2014 19:20,11/17/2014 19:21,A00002/B00006/C00030/D05978/;A00002/B00006/C00015/D05980/
u10009,11/18/2014 13:22,11/18/2014 13:22,A00002/B00002/C00002/D06873/
u10010,11/27/2014 18:29,11/27/2014 18:29,A00002/B00011/C00180/D14591/
u10011,12/2/2014 8:11,12/2/2014 8:16,A00002/B00003/C00014/D17508/;A00002/B00003/C00005/D17510/;A00002/B00003/C00005/D17512/
u10012,12/5/2014 8:50,12/5/2014 8:53,A00002/B00007/C00016/D18222/;A00002/B00007/C00016/D18223/;A00002/B00006/C00015/D18224/
u10013,12/5/2014 19:11,12/5/2014 19:11,A00002/B00001/C00010/D18416/
u10014,12/6/2014 12:53,12/6/2014 12:55,A00002/B00003/C00006/D19760/;A00002/B00001/C00010/D18416/;A00002/B00003/C00006/D19761/;A00002/B00003/C00006/D08538/
u10015,12/6/2014 13:48,12/6/2014 13:48,A00002/B00001/C00010/D18416/
u10016,12/6/2014 14:54,12/6/2014 14:54,A00002/B00002/C00007/D19802/
u10017,12/6/2014 16:00,12/6/2014 16:00,A00002/B00001/C00010/D18416/
u10018,12/6/2014 16:09,12/6/2014 16:11,A00003/B00022/C00048/D20036/;A00002/B00001/C00010/D18416/
u10019,12/6/2014 16:37,12/6/2014 16:37,A00002/B00001/C00010/D18416/
u10020,12/6/2014 17:07,12/6/2014 17:08,A00002/B00001/C00010/D18416/;A00002/B00002/C00002/D19994/
u10021,12/6/2014 17:18,12/6/2014 17:18,A00002/B00001/C00010/D18416/;A00002/B00002/C00002/D19994/
u10022,12/6/2014 17:28,12/6/2014 17:28,A00002/B00001/C00010/D18416/;A00002/B00002/C00002/D19994/
u10023,12/8/2014 22:38,12/8/2014 22:38,A00002/B00003/C00014/D22960/
u10024,12/9/2014 16:53,12/9/2014 16:53,A00002/B00002/C00002/D19994/
u10025,12/9/2014 17:13,12/9/2014 17:13,A00002/B00002/C00002/D19994/;A00002/B00001/C00010/D18416/
u10026,12/9/2014 17:53,12/9/2014 17:53,A00002/B00002/C00002/D19994/
u10027,12/9/2014 18:03,12/9/2014 18:03,A00002/B00001/C00010/D18416/
u10028,12/9/2014 18:23,12/9/2014 18:23,A00002/B00002/C00002/D19994/
u10029,12/9/2014 18:33,12/9/2014 18:33,A00002/B00001/C00010/D18416/;A00002/B00002/C00002/D19994/
u10030,12/9/2014 18:43,12/9/2014 18:43,A00002/B00001/C00010/D18416/
u10031,12/9/2014 19:13,12/9/2014 19:14,A00002/B00002/C00002/D19994/;A00002/B00001/C00010/D18416/
u10032,12/9/2014 19:23,12/9/2014 19:23,A00002/B00002/C00002/D19994/
u10033,12/9/2014 20:04,12/9/2014 20:04,A00002/B00002/C00007/D19802/
u10034,12/9/2014 21:24,12/9/2014 21:24,A00002/B00001/C00010/D18416/;A00002/B00002/C00007/D19802/
u10035,12/9/2014 21:44,12/9/2014 21:44,A00002/B00001/C00010/D18416/;A00002/B00002/C00002/D19994/
u10036,12/9/2014 22:24,12/9/2014 22:24,A00002/B00002/C00002/D19994/;A00002/B00001/C00010/D18416/
u10037,12/9/2014 22:34,12/9/2014 22:34,A00002/B00002/C00002/D19994/;A00002/B00001/C00010/D18416/
u10038,12/9/2014 22:44,12/9/2014 22:44,A00002/B00002/C00007/D19802/;A00002/B00001/C00010/D18416/
u10039,12/9/2014 23:15,12/9/2014 23:15,A00002/B00001/C00010/D18416/
u10040,12/9/2014 23:45,12/9/2014 23:45,A00002/B00001/C00010/D18416/
u10041,12/9/2014 23:55,12/9/2014 23:55,A00002/B00002/C00002/D19994/;A00002/B00001/C00010/D18416/
u10042,12/15/2014 18:14,12/15/2014 18:15,A00001/B00001/C00020/D28439/;A00001/B00001/C00020/D28441/
u10043,12/15/2014 18:51,12/15/2014 18:51,A00001/B00001/C00020/D15866/
u10044,12/15/2014 20:10,12/15/2014 20:10,A00002/B00003/C00006/D28594/
u10045,12/16/2014 21:06,12/16/2014 21:07,A00002/B00003/C00006/D11650/;A00002/B00003/C00006/D29916/
u10046,11/14/2014 0:18,11/14/2014 0:18,A00002/B00005/C00013/D00028/
u10047,11/14/2014 0:22,11/14/2014 0:28,A00002/B00005/C00013/D00031/;A00002/B00005/C00013/D00032/;A00002/B00007/C00016/D00034/;A00002/B00007/C00016/D00036/;A00002/B00007/C00016/D00037/
u10048,11/14/2014 0:33,11/14/2014 0:44,A00002/B00007/C00017/D00040/;A00002/B00007/C00016/D00041/;A00002/B00007/C00021/D00046/;A00002/B00007/C00016/D00049/;A00002/B00007/C00021/D00050/;A00002/B00007/C00021/D00052/;A00002/B00007/C00023/D00053/
u10049,11/14/2014 0:49,11/14/2014 0:51,A00002/B00007/C00017/D00054/;A00002/B00007/C00016/D00055/;A00002/B00007/C00021/D00056/
u10050,11/14/2014 0:55,11/14/2014 0:55,A00002/B00007/C00023/D00058/
u10051,11/14/2014 1:02,11/14/2014 1:03,A00002/B00007/C00021/D00061/;A00002/B00007/C00016/D00062/
u10052,11/14/2014 1:28,11/14/2014 1:28,A00002/B00007/C00021/D00068/
u10053,11/14/2014 1:33,11/14/2014 1:33,A00002/B00007/C00021/D00069/
u10054,11/14/2014 1:48,11/14/2014 1:48,A00002/B00007/C00021/D00073/
u10055,11/14/2014 1:56,11/14/2014 1:58,A00002/B00007/C00016/D00041/;A00002/B00007/C00021/D00077/;A00002/B00007/C00021/D00078/
u10056,11/14/2014 2:03,11/14/2014 2:03,A00002/B00007/C00012/D00079/
u10057,11/14/2014 11:31,11/14/2014 11:32,A00002/B00002/C00004/D00695/
u10058,11/14/2014 15:06,11/14/2014 15:06,A00002/B00007/C00016/D00591/
u10059,11/14/2014 15:09,11/14/2014 15:09,A00002/B00007/C00016/D01179/
u10060,11/14/2014 15:20,11/14/2014 15:20,A00002/B00007/C00021/D00249/
u10061,11/14/2014 18:34,11/14/2014 18:34,A00002/B00002/C00022/D01511/
u10062,11/14/2014 18:42,11/14/2014 18:42,A00002/B00007/C00016/D01521/
u10063,11/14/2014 20:19,11/14/2014 20:19,A00002/B00007/C00021/D01678/
u10064,11/14/2014 20:31,11/14/2014 20:31,A00002/B00007/C00021/D00084/
u10065,11/15/2014 22:24,11/15/2014 22:24,A00002/B00007/C00021/D03428/
u10066,11/15/2014 22:27,11/15/2014 22:34,A00002/B00007/C00021/D00078/;A00002/B00007/C00021/D03436/;A00002/B00007/C00021/D03438/;A00002/B00007/C00021/D03440/;A00002/B00007/C00021/D03444/;A00002/B00007/C00021/D03446/;A00002/B00007/C00021/D00084/
u10067,11/15/2014 22:59,11/15/2014 22:59,A00002/B00007/C00021/D00052/
u10068,11/19/2014 0:54,11/19/2014 0:56,A00002/B00002/C00009/D06885/;A00002/B00002/C00007/D07594/;A00002/B00002/C00002/D07595/
u10069,11/19/2014 1:06,11/19/2014 1:08,A00002/B00002/C00002/D07597/;A00002/B00002/C00002/D06050/
u10070,11/19/2014 1:15,11/19/2014 1:15,A00002/B00002/C00002/D07601/
u10071,11/30/2014 1:44,11/30/2014 1:45,A00002/B00002/C00007/D16127/
u10072,12/2/2014 0:00,12/2/2014 0:04,A00002/B00002/C00002/D17437/;A00002/B00002/C00002/D06050/;A00002/B00002/C00112/D17439/
u10073,12/14/2014 11:53,12/14/2014 11:56,A00002/B00011/C00212/D26996/;A00002/B00001/C00123/D26889/;A00002/B00011/C00212/D26998/
u10074,12/18/2014 17:52,12/18/2014 17:52,A00002/B00002/C00002/D32075/
u10075,12/21/2014 14:16,12/21/2014 14:17,A00002/B00002/C00009/D34718/;A00002/B00002/C00009/D07680/
u10076,12/21/2014 15:04,12/21/2014 15:04,A00002/B00007/C00021/D00249/
u10077,12/21/2014 15:20,12/21/2014 15:20,A00002/B00007/C00017/D34756/
u10078,12/21/2014 15:29,12/21/2014 15:29,A00002/B00007/C00017/D00054/
u10079,12/21/2014 17:44,12/21/2014 17:46,A00002/B00002/C00002/D34839/;A00002/B00002/C00002/D34840/;A00002/B00002/C00007/D34841/
u10080,12/21/2014 17:50,12/21/2014 17:50,A00002/B00002/C00009/D34842/
u10081,12/21/2014 17:57,12/21/2014 17:59,A00002/B00002/C00007/D34844/;A00002/B00002/C00009/D34845/
u10082,12/21/2014 18:09,12/21/2014 18:11,A00002/B00002/C00002/D34852/;A00002/B00002/C00002/D22484/
u10083,12/21/2014 18:15,12/21/2014 18:18,A00002/B00002/C00009/D34855/;A00002/B00002/C00009/D34856/;A00002/B00002/C00007/D30431/
u10084,12/21/2014 18:25,12/21/2014 18:26,A00002/B00002/C00007/D34862/;A00002/B00002/C00009/D34864/
u10085,12/21/2014 18:29,12/21/2014 18:34,A00002/B00002/C00002/D34866/;A00002/B00002/C00002/D34868/;A00002/B00002/C00009/D34869/;A00002/B00002/C00009/D34871/
u10086,12/21/2014 18:40,12/21/2014 18:47,A00002/B00002/C00007/D34875/;A00002/B00002/C00007/D34876/;A00002/B00002/C00002/D34879/;A00002/B00002/C00002/D34880/;A00002/B00002/C00002/D29388/
u10087,12/21/2014 18:52,12/21/2014 18:52,A00002/B00002/C00002/D34881/
u10088,12/21/2014 18:56,12/21/2014 19:05,A00002/B00002/C00002/D26020/;A00002/B00002/C00007/D17043/;A00002/B00002/C00002/D34886/;A00002/B00002/C00002/D34887/;A00002/B00002/C00009/D09976/;A00002/B00002/C00002/D34888/;A00002/B00002/C00002/D34889/;A00002/B00002/C00002/D34891/
u10089,12/21/2014 19:08,12/21/2014 19:08,A00002/B00002/C00007/D34894/;A00002/B00002/C00002/D34896/
u10090,12/22/2014 23:19,12/22/2014 23:21,A00002/B00007/C00021/D22783/;A00002/B00007/C00021/D36095/
u10091,11/14/2014 0:05,11/14/2014 0:05,A00002/B00003/C00006/D00006/
